V1,AGO_A01,AGO_A02,AGO_A03,AGO_B05,AGO_B06,AGO_B07,AGO_B08,AGO_B09,AGO_C10T12,AGO_C13T15,AGO_C16,AGO_C17_18,AGO_C19,AGO_C20,AGO_C21,AGO_C22,AGO_C23,AGO_C24A,AGO_C24B,AGO_C25,AGO_C26,AGO_C27,AGO_C28,AGO_C29,AGO_C301,AGO_C302T309,AGO_C31T33,AGO_D,AGO_E,AGO_F,AGO_G,AGO_H49,AGO_H50,AGO_H51,AGO_H52,AGO_H53,AGO_I,AGO_J58T60,AGO_J61,AGO_J62_63,AGO_K,AGO_L,AGO_M,AGO_N,AGO_O,AGO_P,AGO_Q,AGO_R,AGO_S,AGO_T,ARE_A01,ARE_A02,ARE_A03,ARE_B05,ARE_B06,ARE_B07,ARE_B08,ARE_B09,ARE_C10T12,ARE_C13T15,ARE_C16,ARE_C17_18,ARE_C19,ARE_C20,ARE_C21,ARE_C22,ARE_C23,ARE_C24A,ARE_C24B,ARE_C25,ARE_C26,ARE_C27,ARE_C28,ARE_C29,ARE_C301,ARE_C302T309,ARE_C31T33,ARE_D,ARE_E,ARE_F,ARE_G,ARE_H49,ARE_H50,ARE_H51,ARE_H52,ARE_H53,ARE_I,ARE_J58T60,ARE_J61,ARE_J62_63,ARE_K,ARE_L,ARE_M,ARE_N,ARE_O,ARE_P,ARE_Q,ARE_R,ARE_S,ARE_T
AGO_A01,0.1009572921458874,0.014549476511481191,0.010018217057875265,5.8507652618126045e-05,6.209067899001707e-08,0.0,2.1248368049446777e-06,3.6836881299881113e-07,0.1981109889190948,0.001802335690322343,0.061820722335287515,9.045439766667855e-06,1.7602143201751957e-07,0.00017227004653853952,0.00045772023773778833,1.2765664108143898e-05,4.551088241049905e-06,1.01275206765994e-06,2.232706017365988e-06,1.1682857159546939e-06,1.9563934571355417e-06,1.2531391134792659e-06,1.8452988662819278e-06,1.6133834557793598e-06,0.0,0.0,0.0027537579618973095,4.015447671611243e-07,1.8066690065767678e-06,8.881031792081326e-07,0.012373637966257817,7.41414549267034e-07,5.69660994742029e-07,6.956121550433238e-07,5.912096583162899e-07,2.2963926427253956e-07,0.07339431407489161,0.0009132392790587134,0.00022894734874930723,0.0002703342711462784,7.070875065604774e-05,1.0663956031229608e-07,9.28043497769958e-08,0.0025988907176708828,0.006069446390514177,0.00635333146422145,0.008656114946109572,0.014054231592433799,0.005197719956928046,0.0,0.0,0.0,0.0,0.0,9.595087108146746e-10,0.0,1.630618521855806e-08,2.8377861636692204e-09,0.0,0.0,0.0,0.0,4.3832666194893935e-09,5.486183135552042e-09,0.0,0.0,3.037819008778796e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.896655422756628e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO_A02,0.002719468040871519,0.05006129496620424,0.0003766454014317819,0.0008757864251275742,1.3421139073995998e-06,1.2753126793408455e-05,7.695837503623159e-06,1.0816647872601454e-05,0.0005564659512242206,3.763425486311814e-05,0.16507801504612052,0.04971524453090098,4.928600096490547e-06,0.0032101075724407413,2.8503739109426963e-05,0.022806284451336013,2.5536661797002244e-05,1.772316118404895e-05,1.3396236104195926e-05,2.336571431909388e-05,2.836770512846535e-05,2.0300853638364103e-05,4.042882061581314e-05,2.4860772341327407e-05,4.227722018821819e-05,2.6039438589704003e-05,0.04240733628295115,4.5741186520093295e-06,1.4617594689575666e-05,0.001704701830886627,3.362566047626037e-05,2.0018192830209916e-05,1.4811185863292753e-05,1.8294599677639416e-05,1.7243615034225125e-05,1.056340615653682e-05,0.00011961260686657153,1.3420635734878711e-05,1.05396568984167e-05,6.953439383585326e-06,3.7477210318068297e-06,5.243111715354557e-06,4.269000089741807e-06,0.0003290842354896626,1.3621617089896538e-05,6.580052756947095e-06,1.599387742451287e-05,2.4158424979268544e-05,1.529263492889122e-05,0.0,3.215526069014772e-08,0.0,0.0,8.215710377148759e-08,2.6386489547403548e-08,5.677095977684773e-08,4.728793713381837e-07,9.932251572842271e-08,2.3829919870362507e-08,1.1314765064630958e-08,1.9340932579153005e-07,6.533868404884744e-08,1.1484158543062212e-07,2.2493350855763372e-07,0.0,2.088860850805976e-08,8.657784175019568e-07,7.711436949739573e-08,1.660575261463802e-08,1.6540858003416544e-08,0.0,1.2336819957165081e-08,0.0,0.0,0.0,0.0,3.861914952348942e-08,1.9163978139752345e-08,1.7102808522308966e-08,1.4899822929245168e-07,2.9640230966875933e-09,0.0,0.0,0.0,0.0,0.0,8.497502785746961e-09,0.0,0.0,0.0,0.0,6.090569892675874e-09,0.0,6.203189029704864e-09,6.0025566233231425e-09,0.0,0.0,0.0,1.3145318990686107e-08,0.0
AGO_A03,0.0009604673558948785,8.535205160726448e-07,0.11884311305418863,9.141820721582195e-06,5.015016379962917e-08,0.0,2.946202292570351e-07,3.6836881299881113e-07,0.001360202226128496,1.0682212079050998e-06,2.0250498668529714e-06,5.025244314815475e-07,1.7602143201751957e-07,8.542316357282952e-07,8.302059934784552e-07,8.510442738762599e-07,1.0113529424555345e-06,5.0637603382997e-07,0.0,3.89428571984898e-07,8.559221374967994e-07,5.012556453917064e-07,1.2581583179194962e-06,5.866848930106763e-07,0.0,0.0,8.938837790188193e-07,1.5712621323696168e-07,4.92727910884573e-07,7.740348809612165e-07,0.00010733126415944292,6.672730943403305e-07,9.114575915872464e-07,6.956121550433238e-07,5.912096583162899e-07,2.2963926427253956e-07,0.022084082698041036,4.4523436087275343e-07,3.2501144620668237e-07,1.5452087519078502e-07,1.0483135753305818e-07,1.2441282036434542e-07,1.3920652466549367e-07,0.00010913169239244723,0.00028651804713122154,2.1985856467126333e-07,0.0011574699553522465,0.0025252340177768008,0.0005198509254214699,0.0,0.0,0.0,0.0,0.0,9.595087108146746e-10,0.0,1.630618521855806e-08,2.8377861636692204e-09,3.4042742671946443e-09,0.0,0.0,0.0,4.3832666194893935e-09,5.486183135552042e-09,0.0,0.0,3.037819008778796e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.896655422756628e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO_B05,5.715714727145922e-06,5.8527121102124214e-06,4.235540077950879e-06,0.00013347058253510003,8.026414310978746e-06,2.3684378330615702e-05,6.613777752533686e-05,7.585048740384611e-06,6.8327124541912045e-06,1.5448122083550675e-05,4.050099733705943e-06,2.613127043704047e-05,4.77018080767478e-05,2.040664463128705e-05,1.4943707882612195e-05,1.0212531286515117e-05,1.1630558838238647e-05,3.240806616511808e-05,2.679247220839185e-05,1.752428573932041e-05,2.457719280526524e-05,2.6065293560368727e-05,2.4072762482859694e-05,2.4934107952953745e-05,2.1138610094109096e-05,2.9759358388233147e-05,1.0726605348225833e-05,0.0007434688656328903,7.883646574153168e-06,2.1917408734586027e-05,1.12661810164677e-05,6.895155308183415e-06,5.240881151626666e-06,6.399631826398579e-06,6.010631526215615e-06,3.2149496998155537e-06,5.242109607454797e-06,4.452343608727535e-06,3.71441652807637e-06,1.8542505022894201e-06,1.2841841297799626e-06,3.0925472490565863e-06,9.744456726584557e-07,5.851727010540288e-06,1.3696874642879392e-05,1.8687977997057383e-06,6.357814628377787e-06,8.414732296149717e-06,4.834445880746257e-06,0.0,1.071842023004924e-08,0.0,0.0,4.1078551885743795e-08,9.115332752739409e-09,1.8923653258949245e-08,1.5898530588094106e-07,3.405343396403064e-08,6.808548534389289e-09,0.0,0.0,2.177956134961582e-08,3.857274625150666e-08,7.680656389772858e-08,0.0,0.0,2.885928058339856e-07,1.9278592374348933e-08,5.535250871546007e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.654787380872354e-09,6.387992713250782e-09,0.0,4.826703202431533e-08,9.880076988958647e-10,0.0,0.0,0.0,0.0,0.0,4.248751392873481e-09,0.0,0.0,0.0,0.0,2.0301899642252917e-09,0.0,0.0,2.401022649329257e-09,0.0,0.0,0.0,0.0,0.0
AGO_B06,0.0,0.0,0.0,0.006823454986588949,0.030935725565560776,0.0,0.011751892055576233,0.00423039768058921,0.0,0.0,0.0,0.003616165808941216,0.3419369015532593,0.041621582219225454,0.0,0.0,0.0008720390746322845,0.09116996663488312,0.10227579724350117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12386746480730723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012722378445905584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO_B07,1.454603099927563e-05,5.8527121102124214e-06,2.1177700389754396e-06,0.00023585897461682063,8.714187985945088e-06,0.0021753190559042424,0.0011174231064860537,0.00016387388967360747,8.00227584725096e-06,1.0600041216904452e-05,2.0250498668529714e-06,5.527768746297023e-06,2.5281078173516245e-05,0.0004416377556715286,0.0004004360241877749,0.000131060818176944,5.3348867714529445e-05,0.00030483837236564194,0.0007256294556439461,0.00025157085750224413,0.0002066440589099416,0.0004280723211645172,0.0002094414213229988,0.0003009693501144769,0.000467163283079811,0.00033851270166615206,5.2143220442764464e-05,4.102740012298444e-06,1.0018800854652986e-05,0.00023678134395383065,6.56953777942362e-06,5.412326209649348e-06,3.417965968452174e-06,3.617183206225284e-06,6.2077014123210445e-06,1.3778355856352372e-06,2.713562620329542e-06,3.4346650695898125e-06,1.9036384706391396e-06,1.5452087519078503e-06,1.9393801143615764e-06,8.70889742550418e-07,1.9488913453169114e-06,2.2140039307920473e-05,1.630580314628499e-06,2.339923295429874e-06,9.437381088998277e-06,2.1715438183612174e-06,5.130432363240925e-06,0.0,1.071842023004924e-08,0.0,0.0,4.1078551885743795e-08,1.3433121951405443e-08,3.784730651789849e-08,1.0191365761598787e-07,3.689122012769986e-08,5.106411400791966e-08,2.2629530129261917e-08,9.670466289576503e-08,8.711824539846328e-08,3.506613295591515e-08,1.3715457838880106e-07,1.588681571592442e-08,1.462202595564183e-07,2.2024187813646267e-07,3.277360703639318e-07,4.483553205952265e-07,3.1427630206491434e-07,3.0657217973107966e-08,2.8374685901479684e-07,1.9350530033270725e-07,1.88446391635144e-07,1.690865631050921e-07,8.971377448247786e-08,2.3171489714093647e-07,1.0646654522084637e-08,5.130842556692689e-08,7.904600896735699e-08,1.2844100085646239e-08,8.480026628640418e-09,0.0,0.0,1.2300781766344534e-08,0.0,8.497502785746961e-09,6.331293531956227e-09,0.0,0.0,0.0,4.0603799284505835e-09,5.502679816075789e-09,6.203189029704864e-09,2.401022649329257e-09,0.0,0.0,0.0,0.0,0.0
AGO_B08,0.04323750473208989,0.05092359455044221,0.0003617151226570051,0.10913505577424824,0.0013299107008750233,0.08846844056587445,0.042692292508034344,0.08686453072810406,0.026659428095196433,0.009196727233165737,0.00010732764294320749,0.11859878097623411,0.00017872776153478892,0.14593180725800758,0.06897434414418353,0.0031003542897312148,0.21618781633223752,0.017816840750307494,0.026774610560252928,0.013826272019751817,0.005979716601734782,0.026067298582950295,0.011982196556538113,0.01508601533887653,0.016029408034362924,0.01437377010151661,0.08717720739384904,0.0005952988465504355,0.08960486999127706,0.1525054690249288,0.0011152270609941436,0.002517176536216507,0.0028189104663814564,0.0038870807223820936,0.0015261091980004497,0.00027258180669150443,0.06983939286256556,0.0028355704345811744,0.0018454149915615424,0.001583143626767188,0.00011541932464389705,0.00011127838118588097,5.888435993350384e-05,0.026725138892550414,0.00013422184574491975,0.012358045765790231,0.0009044984717403085,0.00018403833860611318,0.022690323748041308,0.0,0.00023869921852319654,7.344253868559752e-05,9.165542576133548e-05,0.0005670894087826931,0.00022291642197695306,0.00046989323407296867,0.004032116026465249,0.0008337869794646356,0.00017247074719888226,3.604884149591423e-05,3.829504650672295e-05,0.0004443683902162115,0.0009760824672410522,0.0018988557621447306,4.3736403665939924e-05,9.485517123509935e-05,0.007332322985109204,0.0006169727917562888,9.48188474295831e-05,2.5770656769322973e-05,1.0913969598426435e-06,1.4261363870482832e-05,1.817014770124121e-05,6.961431408639437e-06,8.285241592149512e-06,3.2895050643575218e-06,5.976313388759986e-05,0.00015750447766881568,0.00015166770597583592,0.0012136766188180189,1.575674678199125e-05,2.8933850856921106e-05,1.7011272194585329e-06,4.5179503492101317e-07,3.061664581643155e-05,2.7979930092627074e-06,4.675326032717979e-05,6.837797014512726e-07,1.2648596370749505e-06,4.0924423732745166e-07,6.952999510157446e-07,3.8151329807721675e-05,9.794770072614904e-06,2.6090613058938656e-05,4.1833017619263644e-05,9.743050414926958e-06,3.199024860740013e-06,2.2099439374055476e-05,5.3527738930073824e-05,0.0
AGO_B09,7.491879391988027e-07,8.535205160726448e-07,5.294425097438599e-07,0.023620636380424075,0.06213073941848082,0.022698743817010848,0.0007615486532007604,0.007437148661965588,7.386716166693193e-07,1.3147337943447385e-06,0.0,3.216156361481904e-05,0.009314152072528043,0.0003604857502773406,1.1069413246379405e-06,8.510442738762599e-07,0.00034967527985400106,0.0007884274846732634,0.0008841515828769313,1.557714287939592e-06,1.3450205017806848e-06,1.2531391134792659e-06,2.264684972255093e-06,1.6133834557793598e-06,2.1138610094109094e-06,0.0,8.938837790188193e-07,0.005442782192655803,0.0008566895943913109,0.004155622173433401,1.1813642498086334e-06,8.896974591204406e-07,7.975253926388406e-07,9.738570170606532e-07,8.86814487474435e-07,2.2963926427253956e-07,6.475547162150043e-07,5.724441782649687e-07,4.6430206600954625e-07,2.3178131278617752e-07,1.0483135753305818e-07,1.2441282036434542e-07,2.320108744424895e-07,7.112563036522681e-05,1.7560095695999221e-07,1.413376487172407e-07,2.483521339210073e-07,2.714429772951522e-07,2.959864824946687e-07,0.0,0.0,0.0,0.0,0.0,4.317789198666036e-09,0.0,2.2421004675517332e-08,8.51335849100766e-09,0.0,0.0,0.0,0.0,7.0132265911830305e-09,1.0972366271104085e-08,0.0,0.0,3.797273760973495e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2956998292585215e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO_C10T12,0.004005343915481095,0.00037493936956048326,0.0002830929099600418,5.4850924329493166e-05,0.0001157489661525822,8.198438652905435e-05,0.00015370248081482171,1.9339362682437585e-05,0.0025724239050509048,0.0021956876074178595,5.2651296538177254e-05,0.0003648327372556035,1.117736093311249e-05,0.009036916474369636,0.009267866240531155,0.02353690596045878,1.4158941194377483e-05,0.0005428351082657278,0.0013641833766106185,0.0021570448602243495,0.0026357510851258586,0.005039874886590911,0.0016399674287974658,0.003588018134430043,0.004766756576221601,0.0026448629767542205,0.001326523528063928,5.359749718194138e-06,0.000344252567071355,5.01167216083415e-05,0.00032078361446632965,0.00013256492140894567,0.00014435209606763016,0.00010023771154174296,0.00024909633603726353,1.033376689226428e-05,0.0007423135563544667,0.00045623801007718006,0.00011254682080071401,0.00011527257289232562,0.00024729717242048425,9.773515702621938e-05,7.08097188798478e-05,0.00020269899747850896,0.0014016970101566463,0.0004520292089641174,0.0018075565011038753,0.0013341422334056728,0.0008993055959796352,0.0,1.071842023004924e-08,0.0,0.0,4.1078551885743795e-08,1.0554595818961421e-08,1.8923653258949245e-08,1.7732976425181888e-07,3.972900629136908e-08,1.0212822801583932e-08,1.1314765064630958e-08,0.0,2.177956134961582e-08,4.2956012870996053e-08,8.777893016883268e-08,0.0,0.0,3.1897099592177356e-07,3.8557184748697866e-08,1.1070501743092014e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8964362142617058e-08,6.387992713250782e-09,1.7102808522308966e-08,5.5961776260075746e-08,2.9640230966875933e-09,0.0,0.0,0.0,0.0,0.0,8.497502785746961e-09,0.0,0.0,0.0,2.4921145197696938e-09,2.0301899642252917e-09,5.502679816075789e-09,6.203189029704864e-09,3.6015339739938854e-09,5.269362041604628e-09,1.470816027926443e-08,2.455493263783942e-08,1.3145318990686107e-08,0.0
AGO_C13T15,0.00012447462985317633,5.352792950798444e-05,3.584325790965931e-05,4.022401117496166e-05,4.7296380669126466e-05,2.550625358681691e-05,7.809221652458443e-05,1.6827757139263872e-05,0.0001847910161034414,0.0289311279988667,6.075149600558914e-05,0.00012110838798705295,7.876959082784e-06,0.00025940167338282566,0.00042755608664140444,0.00091700020510167,4.070695593383526e-05,9.367956625854444e-05,0.0001250315369724953,0.00011994400017134857,0.0002202165385188194,0.00017719387064596819,0.00019291760874765607,0.00023812073095070822,0.00020927223993168006,0.00017855615032939885,0.0006894823548831827,5.160723181427319e-05,6.306917259322534e-05,4.797386714841729e-05,0.00028846417787603654,0.00013197178976953204,0.00014264311308340407,0.00023901233647288607,0.00021273694205081167,2.0897173048801102e-05,0.00010727823131961906,9.038257525716894e-05,6.685949750537464e-05,4.303406374063363e-05,3.655993593965404e-05,7.48787445992839e-05,4.4174870493850004e-05,0.00018586774143788276,0.00030825493701776914,0.00010212430328980182,0.0007344269304312027,0.000581702300343511,0.0005499428844750946,0.0,4.287368092019696e-08,0.0,0.0,1.2323565565723136e-07,4.413740069747503e-08,9.461826629474623e-08,7.256252422258337e-07,1.5891602516547633e-07,4.4255565473530374e-08,7.92033554524167e-08,0.0,8.711824539846328e-08,1.7796062475126936e-07,3.511157206753307e-07,1.588681571592442e-08,4.177721701611952e-08,1.3214512688187762e-06,1.349501466204425e-07,3.8746756100822045e-08,1.6540858003416544e-08,0.0,1.2336819957165081e-08,1.9350530033270724e-08,1.1085081860890825e-08,0.0,0.0,1.5447659809395767e-07,3.193996356625391e-08,3.420561704461793e-08,2.2944328266631057e-07,1.2844100085646239e-08,8.480026628640418e-09,9.556894491340073e-09,6.454214784585902e-09,1.2300781766344534e-08,0.0,4.248751392873481e-08,1.2662587063912454e-08,4.331711085873118e-09,0.0,9.968458079078775e-09,1.2181139785351748e-08,2.2010719264303156e-08,2.4812756118819456e-08,1.9208181194634057e-08,3.6885534291232394e-08,5.883264111705772e-08,7.366479791351825e-08,5.258127596274443e-08,0.0
